GPU Name,NVIDIA B300,NVIDIA B200,NVIDIA H200,NVIDIA H100,NVIDIA A100
Architecture,Blackwell Ultra,Blackwell,Hopper,Hopper,Ampere
FP64,1.2 teraFLOPS,37 teraFLOPS,34 teraFLOPS,34 teraFLOPS,9.7 teraFLOPS
FP64 Tensor Core,1.2 teraFLOPS,37 teraFLOPS,67 teraFLOPS,67 teraFLOPS,19.5 teraFLOPS
FP32,75 teraFLOPS,75 teraFLOPS,67 teraFLOPS,67 teraFLOPS,19.5 teraFLOPS
FP32 Tensor Core,2.2 petaFLOPS,2.2 petaFLOPS,989 teraFLOPS,989 teraFLOPS,312 teraFLOPS
FP16/BF16 Tensor Core,4.5 petaFLOPS,4.5 petaFLOPS,2 peraFLOPS,2 peraFLOPS,624 teraFLOPS
INT8 Tensor Core,9 petaOPs,9 petaOPs,4 petaOPs,4 petaOPs,1248 teraOPs
FP8/FP6 Tensor Core,9 petaFLOPS,9 petaFLOPS,4 petaFLOPS,4 petaFLOPS,-
FP4 Tensor Core (Sparse | Dense),18 | 14 petaFLOPS,18 | 9 petaFLOPS,"- ","- ",-
GPU Memory,270GB HBM3e,192GB HBM3e,141GB HBM3e,80GB HBM3,80GB HBM2e
NVIDIA HGX 8x GPU Memory,2.1TB Total,1.4TB Total,1.1TB Total,640GB Total,640GB Total
Memory Bandwidth,Up to 7.7TB/s,Up to 7.7TB/s,4.8TB/s,3.2TB/s,2TB/s
Multi-Instance GPUs,Up to 7 MIGs @23GB,Up to 7 MIGs @23GB,Up to 7 MIGs @16.5GB,Up to 7 MIGs @16.5GB,Up to 7 MIGs @ 10GB
Interconnect,NVLink 1.8TB/s,NVLink 1.8TB/s,NVLink 900GB/s,NVLink 900GB/s,NVLink 600GB/s
